"Date","Price","Open","High","Low","Vol.","Change %"
"03/30/2026","20,969.11","21,096.24","21,139.72","20,893.45","474.51M","0.10%"
"03/27/2026","20,948.36","21,287.19","21,293.50","20,909.93","1.47B","-2.15%"
"03/26/2026","21,408.08","21,693.18","21,823.58","21,395.77","1.50B","-2.38%"
"03/25/2026","21,929.82","22,006.43","22,093.18","21,865.46","1.48B","0.77%"
"03/24/2026","21,761.89","21,807.60","21,916.16","21,712.04","1.56B","-0.84%"
"03/23/2026","21,946.76","21,995.78","22,189.34","21,865.80","1.67B","1.38%"
"03/20/2026","21,647.61","21,989.33","21,997.09","21,522.75","4.16B","-2.01%"
"03/19/2026","22,090.69","21,871.04","22,187.06","21,851.05","1.46B","-0.28%"
"03/18/2026","22,152.42","22,421.96","22,461.76","22,144.76","1.59B","-1.46%"
"03/17/2026","22,479.53","22,458.03","22,569.64","22,409.07","1.40B","0.47%"
"03/16/2026","22,374.18","22,340.39","22,521.59","22,316.63","1.45B","1.22%"
"03/13/2026","22,105.36","22,425.70","22,521.38","22,069.24","1.41B","-0.93%"
"03/12/2026","22,311.98","22,526.59","22,550.75","22,290.48","1.47B","-1.78%"
"03/11/2026","22,716.13","22,771.27","22,877.71","22,602.33","1.38B","0.08%"
"03/10/2026","22,697.10","22,722.94","22,906.72","22,608.23","1.44B","0.01%"
"03/09/2026","22,695.95","22,184.05","22,741.03","22,061.97","1.67B","1.38%"
"03/06/2026","22,387.68","22,421.17","22,614.41","22,328.13","1.59B","-1.59%"
"03/05/2026","22,748.99","22,707.47","22,877.02","22,500.29","1.74B","-0.26%"
"03/04/2026","22,807.48","22,620.89","22,891.88","22,570.67","1.61B","1.29%"
"03/03/2026","22,516.69","22,292.37","22,601.59","22,124.78","1.64B","-1.02%"
"03/02/2026","22,748.86","22,322.12","22,802.80","22,306.08","1.55B","0.36%"
